N,P,K,temperature,humidity,pH,rainfall,crop
85,45,40,22.5,80.5,6.5,225.0,rice
90,50,42,23.0,82.0,6.8,240.0,rice
75,40,38,21.5,81.0,6.2,210.0,rice
95,48,41,24.0,83.0,7.0,235.0,rice
80,42,39,22.0,81.5,6.4,220.0,rice
70,55,20,23.5,65.0,6.5,85.0,maize
75,50,18,24.0,68.0,6.8,90.0,maize
85,45,22,22.5,62.0,6.2,80.0,maize
65,52,19,25.0,70.0,6.9,95.0,maize
80,48,21,23.0,66.0,6.4,88.0,maize
120,45,35,18.5,70.0,7.2,75.0,wheat
110,50,40,19.0,72.0,7.5,80.0,wheat
125,42,38,17.5,68.0,7.0,70.0,wheat
115,48,42,20.0,71.0,7.3,85.0,wheat
105,44,37,18.0,69.0,7.1,72.0,wheat
140,35,30,26.0,65.0,6.8,120.0,sorghum
130,40,35,27.0,68.0,7.0,125.0,sorghum
145,38,32,25.5,63.0,6.5,115.0,sorghum
135,42,34,26.5,67.0,6.9,130.0,sorghum
125,36,31,25.0,64.0,6.7,118.0,sorghum
90,60,45,24.0,75.0,6.5,180.0,barley
95,55,42,23.5,73.0,6.8,175.0,barley
85,58,40,22.5,74.0,6.3,170.0,barley
100,52,44,24.5,76.0,6.9,185.0,barley
92,56,43,23.0,72.0,6.6,172.0,barley 
